Company Name,High,Low,Last Price,% Chg,Value (Rs. cr.)
SRF,5420.95,5285.60,5402.25,2.45,83.08
L&T Finance,96.90,93.75,95.65,0.79,82.71
HPCL,231.90,228.75,230.00,0.09,82.16
ICICI Lombard ,1440.00,1401.10,1432.95,2.35,80.16
Colgate,1561.75,1529.85,1552.70,0.89,79.17
Bosch,14371.85,13765.95,14256.60,3.65,78.67
Hind Zinc,283.00,257.00,262.25,-5.68,73.08
Just Dial,892.00,862.85,872.90,1.41,73.08
Exide Ind,186.85,182.85,186.20,2.08,72.83
Sun TV Network,470.00,456.10,463.90,2.16,71.66
L&T Technology,2656.00,2550.00,2640.65,3.61,70.90
Laurus Labs,364.00,356.55,360.30,1.38,70.82
Escorts,1291.95,1262.45,1274.35,0.33,70.48
KEC Intl,409.45,382.00,406.00,-1.37,69.87
Metropolis,2279.95,2100.10,2245.65,8.00,68.95
Bata India,1432.00,1396.50,1404.25,-0.55,67.17
NALCO,55.25,53.90,54.20,0.84,67.13
REC,133.10,127.80,128.55,-2.09,66.82
United Spirits,560.95,550.75,552.95,-0.29,66.18
Gujarat Gas,540.00,515.00,537.60,3.75,65.92
Indiabulls Real,85.00,78.65,79.95,-3.91,65.47
Lux Industries,1836.80,1726.00,1738.00,-2.05,64.41
Tata Comm,1137.90,1081.10,1091.50,-2.36,62.98
Polycab,1409.80,1365.00,1377.65,-0.94,61.94
Marico,409.95,403.10,408.20,1.58,59.92
Wockhardt,434.90,406.85,428.95,6.41,58.28
CG Consumer,389.00,375.60,385.85,0.65,57.77
JSW Energy,90.40,86.60,87.30,-0.23,57.60
Bharat Forge,600.45,588.35,590.65,0.58,55.14
Fortis Health,205.65,197.50,200.60,1.03,53.19
PI Industries,2303.20,2270.10,2275.20,0.11,52.73
Ipca Labs,1945.00,1866.00,1890.00,1.62,52.46
HDFC AMC,2912.00,2860.00,2892.25,1.33,52.33
EngineersInd,78.70,73.40,76.85,4.27,50.42
Glenmark,463.25,452.00,461.90,2.52,50.18
Max Financial,884.90,857.50,867.15,0.38,49.93
V-Guard Ind,249.80,233.95,246.30,6.92,48.44
Honeywell Autom,47000.00,45493.65,46609.60,2.57,48.19
Trent,777.15,750.05,760.65,0.08,47.80
Oberoi Realty,570.95,547.00,555.95,-0.13,47.72
Alkem Lab,2755.80,2655.05,2739.65,3.38,47.71
Balkrishna Ind,1670.00,1644.30,1658.10,0.56,47.59
NBCC (India),48.80,46.00,47.90,4.24,47.10
Bajaj Holdings,3367.25,3141.00,3197.20,-2.69,46.57
Blue Dart,5740.00,5239.90,5589.95,5.02,46.33
Praj Industries,198.50,187.20,194.20,3.93,45.59
Phoenix Mills,816.00,752.00,789.95,1.33,45.10
Graphite India,499.40,480.60,484.65,1.61,44.67
Alkyl Amines,5739.00,5450.05,5653.95,4.28,44.12
BEML,1307.00,1265.45,1277.75,0.07,43.96
General Insuran,205.90,182.60,183.70,-9.44,43.90
Sterling & Wils,262.30,250.00,251.75,0.92,43.73
HEG,1480.00,1432.00,1442.35,1.52,43.58
IFB Industries,1190.00,1102.05,1152.20,5.33,43.04
IEX,347.75,338.50,341.30,0.60,42.87
Ramco Cements,992.00,958.80,985.70,2.84,42.49
Siemens,1859.70,1815.20,1832.70,1.27,42.08
GMR Infra,26.60,24.30,24.40,0.83,41.87
CDSL,662.00,645.00,653.40,1.33,41.83
NCC,83.00,79.05,80.10,1.59,41.78
eClerx Services,1110.00,1053.00,1075.65,4.56,41.38
Torrent Power,425.50,413.80,421.65,1.58,40.04
India Tourism D,420.00,355.75,392.70,10.09,39.83
Manappuram Fin,153.40,148.65,149.85,-0.79,39.51
Aditya Birla F,207.65,198.15,203.60,-0.22,39.07
Sanofi India,7989.95,7849.00,7877.35,0.42,39.04
Alembic Pharma,967.00,939.80,955.50,2.12,39.02
Emami,501.10,473.00,493.35,4.78,38.74
Amara Raja Batt,858.00,842.15,855.35,1.75,38.62
Balrampur Chini,214.35,204.00,206.15,-3.03,37.58
Oil India,129.00,118.70,124.00,4.95,35.76
Prism Cement,130.30,127.50,129.00,2.14,35.66
Aarti Ind,1352.00,1321.35,1338.70,1.28,35.57
India Cements,169.25,163.25,167.55,3.14,35.22
NHPC,26.00,23.30,25.05,7.74,34.77
APL Apollo,1410.00,1356.95,1394.10,4.52,34.12
Sonata,512.85,488.80,505.85,3.12,34.11
Rain Industries,148.40,141.65,143.75,2.06,33.89
PNC Infratech,264.80,250.05,260.95,2.70,33.73
Raymond,366.40,355.00,358.90,1.82,33.72
GNFC,297.35,284.00,295.55,3.09,33.32
Birlasoft,254.90,249.35,252.75,-0.04,33.03
AB Capital,124.20,118.50,119.05,-3.17,32.68
Infibeam Avenue,48.75,46.00,46.30,-1.80,32.27
Abbott India,15267.80,14899.80,15086.55,0.38,31.82
EPL,232.00,224.15,230.75,3.71,31.44
Whirlpool,2248.00,2181.10,2208.30,1.50,30.95
3M India,30030.00,29020.55,29723.70,3.44,30.93
Firstsource Sol,111.90,107.30,110.80,3.50,30.46
Mahanagar Gas,1164.85,1137.05,1160.80,2.13,29.86
Varun Beverages,1020.00,993.65,1015.70,2.22,29.64
Rashtriya Chem,81.50,73.90,78.70,3.83,28.75
Rail Vikas,30.40,29.50,29.60,1.37,27.99
ICICI Securitie,402.25,386.00,387.35,-1.89,27.61
Cyient,648.95,621.25,643.60,0.12,27.35
